,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
1290,1951-12-30,15:40:00,"Near Phoenix, Arizona",Military - U.S. Air Force,Douglas C-47D,28,24,4,28,24,4,0
1291,1951-12-31,,"Calcutta, India",Kalinga Airlines,Douglas C-47A,3,0,3,3,0,3,0
1292,1952-01-02,,"Andapa, Madagascar",Air France,Junkers JU-52/3m,11,8,3,6,,,0
1293,1952-01-10,19:15:00,"Com Edno, Ireland",Aer Lingus,Douglas DC-3,23,20,3,23,20,3,0
1294,1952-01-19,01:38:00,"Off Sandspit, BC, Canada",Northwest Orient Airlines,Douglas DC-4,43,40,3,36,33,3,0
1295,1952-01-22,15:43:00,"Elizabeth, New Jersey",American Airlines,Convair CV-240-0,23,20,3,23,20,3,7
1296,1952-02-04,,"Kikwit, Belgian Congo",Sabena,Douglas DC-3,15,11,4,15,11,4,0
1297,1952-02-07,,"Kaneko, Japan",Military - U.S. Air Force,Boeing B-29,13,0,13,13,0.0,13,5
1298,1952-02-11,00:20:00,"Elizabeth, New Jersey",National Airlines,Douglas DC-6,63,59,4,29,26,3,4
1299,1952-02-16,17:34:00,"Near Burgio, Italy",Hunting Air Travel,Vickers 614 Viking 1,31,26,5,31,26,5,0
1300,1952-02-19,02:23:00,"Nagpur, India",Deccan Airways,Douglas DC-3,16,12,4,3,1,2,0
1301,1952-02-19,,"Near Yaounde, Cameroon",STAAP,Consolidated  32 Liberator II,9,5,4,9,5,4,0
1302,1952-02-28,,"Uberlandia,  Brazil",Panair do Brasil,Douglas DC-3A,8,6,2,8,6,2,0
1303,1952-03-03,08:10:00,"Nice, France",Air France,SNCASE Languedoc,38,34,4,38,34,4,0
1304,1952-03-10,,"Cebu, Philippines",Philippine Air Lines,Douglas C-47A-35-DL,3,0,3,3,0,3,0
1305,1952-03-12,,"Near Sequin, Texas",Military - U.S. Air Force / U.S. Air Force,Boeing B-29 / Boeing B-29,15,0,15,15,0,15,
1306,1952-03-22,14:00:00,"Near Gaspe, Quebec, Canada",Maritime Central Airways,Douglas C-47-DL,4,3,1,4,3,1,0
1307,1952-03-22,10:45:00,"Frankfurt, Germany",KLM Royal Dutch Airlines,Douglas DC-6,47,37,10,45,36,9,0
1308,1952-03-24,03:10:00,"Near Gao, French West Africa",Société Aérienne de Tr. Tropicaux,Lockheed 18 Lodestar,21,18,3,17,14,3,0
1309,1952-03-26,,"Moscow, Russia",Aeroflot,,70,,,70,,,0
1310,1952-03-29,,"Near San Felipe, Venezuela",TACA,Douglas DC-3,12,9,3,12,9,3,0
1311,1952-03-30,,"Baguio, Philippines",Philippine Air Lines,Douglas DC-3,29,26,3,10,8,2,0
1312,1952-04-05,08:25:00,"New York, New York",US Airlines,Curtiss C-46F-1-CU,2,0,2,2,0,2,3
1313,1952-04-09,08:07:00,"Mihara Volcano, Japan",Japan Air Lines,Martin 202,37,33,4,37,33,4,0
1314,1952-04-10,,"Agartala, India",Kalinga Airlines,Douglas C-47A,4,0,4,4,0,4,0
1315,1952-04-11,12:20:00,"North of San Juan, Puerto Rico",Pan American World Airways,Douglas DC-4,69,64,5,52,52,0,0
1316,1952-04-18,03:34:00,"Near Whittier, California",North Continental Airlines (Robin Airlines),Curtiss C-46F-1CU,29,26,3,29,26,3,0
1317,1952-04-29,04:40:00,"Near Carolina, Brazil",Pan American World Airways,Boeing 377-10-26 Stratocruiser,50,41,9,50,41,9,0
1318,1952-04-30,,"Delhi,  India",Deccan Airways,Douglas DC-3,9,5,4,9,5,4,0
1319,1952-05-05,,"Near Skien, Norway",Fred Olsen Flyveselskap,Douglas C-47A,29,26,3,11,8,3,0
1320,1952-05-09,,"Ipoh, Malaysia",Garuda Indonesia Airlines,Douglas DC-3,17,,,17,,,0
1321,1952-05-13,,"Sao Paulo, Brazil",VASP,Douglas DC-3,22,19,3,5,3,2,0
1322,1952-05-24,,"Near Manaus, Brazil",Loide Aéreo Nacional,Curtiss C-46A,6,0,6,6,0,6,0
1323,1952-05-26,08:45:00,"Near Atar, Mauritania",British Overseas Airways,Handley Page HP-81 Hermes IV,18,10,8,1,0,1,0
1324,1952-06-13,11:29:00,Baltic Sea,Swedish Air Force,Douglas DC-3,8,5,3,8,5,3,0
1325,1952-06-14,09:49:00,"Near Brighton, East Sussex, England",Morton Air Services,Airspeed AS-65 Consul,8,7,1,6,5,1,
1326,1952-06-24,,"Lakenheath AFB, England",Military - U.S. Air Force,Boeing B-50 Superfortress,11,,,11,,,0
1327,1952-06-25,,"Off Northumberland, North Sea",Military - Royal Air Force,Avro Shackleton MR-1,13,11,2,11,9,2,0
1328,1952-07-18,00:00:00,"Whiting Field, near Milton, Florida",Military - Navy,Fairchild packet (C119 flying boxcar),46,40,6,41,37,4,0
